"url_bollettino","data","codice_regione","denominazione_regione","codice_provincia","denominazione_provincia","sigla_provincia","lat","long","nuovi_casi","casi_totali","nuovi_morti_abbattuti","totale_morti_abbattuti","equidi_presenti_focolaio"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_12.pdf",2018-09-26,1,"Piemonte",96,"Biella","BI",45.5665112,8.054082167,0,5,0,0,"NA"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_12.pdf",2018-09-26,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,9,0,3,"NA"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_12.pdf",2018-09-26,3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,0,1,0,0,"NA"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_12.pdf",2018-09-26,1,"Piemonte",4,"Cuneo","CN",44.39329625,7.551171632,1,2,0,0,"NA"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_12.pdf",2018-09-26,6,"Friuli Venezia Giulia",31,"Gorizia","GO",45.94149817,13.62212502,0,1,0,0,"NA"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_12.pdf",2018-09-26,12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,0,1,0,0,"NA"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_12.pdf",2018-09-26,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,2,0,0,"NA"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_12.pdf",2018-09-26,17,"Basilicata",77,"Matera","MT",40.66751177,16.59792442,1,1,0,0,"NA"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_12.pdf",2018-09-26,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,7,0,0,"NA"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_12.pdf",2018-09-26,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,0,1,0,0,"NA"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_12.pdf",2018-09-26,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,1,24,0,0,"NA"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_12.pdf",2018-09-26,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,0,3,0,0,"NA"
